,State Code,District Code,Sub District Code,Category,Name,Residence,Inhabited Villages,Uninhabited Villages,Towns,Households,Population (Person),Population (Male),Population (Female),Area,Population Density
11214,22,402,3257,SUB-DISTRICT,Jashpur,Total,96,1,1,20792,96360,48449,47911,757.88,127.14413891381221
11215,22,402,3257,SUB-DISTRICT,Jashpur,Rural,96,1,0,14664,68059,34111,33948,744.15,91.4587112813277
11216,22,402,3257,SUB-DISTRICT,Jashpur,Urban,0,0,1,6128,28301,14338,13963,13.73,2061.2527312454476
11217,22,402,3258,SUB-DISTRICT,Manora,Total,97,0,0,12511,60695,30710,29985,619.66,97.94887518962013
11218,22,402,3258,SUB-DISTRICT,Manora,Rural,97,0,0,12511,60695,30710,29985,619.66,97.94887518962013
11219,22,402,3258,SUB-DISTRICT,Manora,Urban,0,0,0,0,0,0,0,0.0,0.0
11220,22,402,3259,SUB-DISTRICT,Kunkuri,Total,90,0,1,21487,95300,47657,47643,426.69367558373284,223.34523676646026
11221,22,402,3259,SUB-DISTRICT,Kunkuri,Rural,90,0,0,18499,81454,40787,40667,419.1536755837328,194.3296808421479
11222,22,402,3259,SUB-DISTRICT,Kunkuri,Urban,0,0,1,2988,13846,6870,6976,7.54,1836.3395225464192
11223,22,402,3260,SUB-DISTRICT,Duldula,Total,66,0,0,11735,50840,25092,25748,521.7923462885844,97.4333954141256
11224,22,402,3260,SUB-DISTRICT,Duldula,Rural,66,0,0,11735,50840,25092,25748,521.7923462885844,97.4333954141256
11225,22,402,3260,SUB-DISTRICT,Duldula,Urban,0,0,0,0,0,0,0,0.0,0.0
11226,22,402,3261,SUB-DISTRICT,Farsabahar,Total,99,0,0,25456,108498,53496,55002,660.9694843315933,164.1497868993435
11227,22,402,3261,SUB-DISTRICT,Farsabahar,Rural,99,0,0,25456,108498,53496,55002,660.9694843315933,164.1497868993435
11228,22,402,3261,SUB-DISTRICT,Farsabahar,Urban,0,0,0,0,0,0,0,0.0,0.0
11229,22,402,3262,SUB-DISTRICT,Pathalgaon,Total,107,0,2,43215,191530,95480,96050,803.4255290786646,238.39172775557523
11230,22,402,3262,SUB-DISTRICT,Pathalgaon,Rural,107,0,0,38244,168112,83702,84410,771.5955290786645,217.87580884603713
11231,22,402,3262,SUB-DISTRICT,Pathalgaon,Urban,0,0,2,4971,23418,11778,11640,31.83,735.7210179076343
11232,22,403,0,DISTRICT,Raigarh,Total,1426,40,10,367962,1493984,750278,743706,7086.0,210.83601467682755
11233,22,403,0,DISTRICT,Raigarh,Rural,1426,40,0,312800,1247682,623817,623865,6966.5,179.09739467451374
11234,22,403,0,DISTRICT,Raigarh,Urban,0,0,10,55162,246302,126461,119841,119.5,2061.10460251046
11235,22,403,3263,SUB-DISTRICT,Udaipur (Dharamjaigarh),Total,190,1,1,48428,207030,103310,103720,1935.6808775572456,106.95461343879361
11236,22,403,3263,SUB-DISTRICT,Udaipur (Dharamjaigarh),Rural,190,1,0,45059,192676,96031,96645,1904.4308775572456,101.17248269317054
11237,22,403,3263,SUB-DISTRICT,Udaipur (Dharamjaigarh),Urban,0,0,1,3369,14354,7279,7075,31.25,459.328
11238,22,403,3264,SUB-DISTRICT,Lailunga,Total,120,2,1,31465,130613,65035,65578,795.4026150475015,164.20992027062897
11239,22,403,3264,SUB-DISTRICT,Lailunga,Rural,120,2,0,29563,122405,60906,61499,793.4026150475015,154.2785436781949
11240,22,403,3264,SUB-DISTRICT,Lailunga,Urban,0,0,1,1902,8208,4129,4079,2.0,4104.0
11241,22,403,3265,SUB-DISTRICT,Gharghoda,Total,80,1,1,19618,79425,39330,40095,481.1948789512696,165.05786631208795
11242,22,403,3265,SUB-DISTRICT,Gharghoda,Rural,80,1,0,17374,69970,34501,35469,468.1948789512696,149.4463163645209
11243,22,403,3265,SUB-DISTRICT,Gharghoda,Urban,0,0,1,2244,9455,4829,4626,13.0,727.3076923076923
11244,22,403,3266,SUB-DISTRICT,Tamnar,Total,116,1,0,23963,97975,49342,48633,729.0129043001072,134.39405451136895
11245,22,403,3266,SUB-DISTRICT,Tamnar,Rural,116,1,0,23963,97975,49342,48633,729.0129043001072,134.39405451136895
11246,22,403,3266,SUB-DISTRICT,Tamnar,Urban,0,0,0,0,0,0,0,0.0,0.0
11247,22,403,3267,SUB-DISTRICT,Raigarh,Total,138,2,2,72961,307513,157560,149953,652.4214402654834,471.34103973478676
11248,22,403,3267,SUB-DISTRICT,Raigarh,Rural,138,2,0,36716,144392,73203,71189,616.6914402654834,234.13978299721458
11249,22,403,3267,SUB-DISTRICT,Raigarh,Urban,0,0,2,36245,163121,84357,78764,35.73,4565.37923313742
11250,22,403,3268,SUB-DISTRICT,Pusour,Total,147,0,1,36644,139799,70261,69538,473.76023377163057,295.08386317494967
11251,22,403,3268,SUB-DISTRICT,Pusour,Rural,147,0,0,35448,135055,67874,67181,457.76023377163057,295.03436523360574
11252,22,403,3268,SUB-DISTRICT,Pusour,Urban,0,0,1,1196,4744,2387,2357,16.0,296.5
11253,22,403,3269,SUB-DISTRICT,Kharsia,Total,136,1,1,36706,150627,75194,75433,514.0660348859657,293.01099426538326
11254,22,403,3269,SUB-DISTRICT,Kharsia,Rural,136,1,0,32700,131688,65444,66244,510.82603488596567,257.7942215286607
11255,22,403,3269,SUB-DISTRICT,Kharsia,Urban,0,0,1,4006,18939,9750,9189,3.24,5845.37037037037
11256,22,403,3270,SUB-DISTRICT,Sarangarh,Total,274,14,1,57327,229603,114164,115439,883.5428397122947,259.866290212668
11257,22,403,3270,SUB-DISTRICT,Sarangarh,Rural,274,14,0,54016,214649,106744,107905,880.8728397122948,243.67762328795075
11258,22,403,3270,SUB-DISTRICT,Sarangarh,Urban,0,0,1,3311,14954,7420,7534,2.67,5600.749063670412
11259,22,403,3271,SUB-DISTRICT,Baramkela,Total,225,18,2,40850,151399,76082,75317,620.9181755085019,243.8308395079779
11260,22,403,3271,SUB-DISTRICT,Baramkela,Rural,225,18,0,37961,138872,69772,69100,605.3081755085019,229.42363182743674
11261,22,403,3271,SUB-DISTRICT,Baramkela,Urban,0,0,2,2889,12527,6310,6217,15.61,802.498398462524
11262,22,404,0,DISTRICT,Korba ,Total,707,12,7,280073,1206640,612915,593725,6598.0,182.87966050318278
11263,22,404,0,DISTRICT,Korba ,Rural,707,12,0,180218,760350,381424,378926,6321.5,120.27999683619394
