,District Code,Age Group,Total Persons
736,551,65-69,80634
737,551,70-74,54688
738,551,75-79,20651
739,551,80+,23504
740,551,Age not stated,4807
741,552,All ages,4053463
742,552,0-4,346054
743,552,5-9,408916
744,552,10-14,442302
745,552,15-19,407679
746,552,20-24,395011
747,552,25-29,368722
748,552,30-34,307527
749,552,35-39,299697
750,552,40-44,241810
751,552,45-49,204584
752,552,50-54,159160
753,552,55-59,123816
754,552,60-64,132001
755,552,65-69,83844
756,552,70-74,58640
757,552,75-79,23091
758,552,80+,28475
759,552,Age not stated,22134
760,553,All ages,4081148
761,553,0-4,305126
762,553,5-9,356981
763,553,10-14,389193
764,553,15-19,388002
765,553,20-24,381660
766,553,25-29,368434
767,553,30-34,312489
768,553,35-39,314528
769,553,40-44,254468
770,553,45-49,223080
771,553,50-54,177682
772,553,55-59,144326
773,553,60-64,160958
774,553,65-69,112177
775,553,70-74,74481
776,553,75-79,31409
777,553,80+,38579
778,553,Age not stated,47575
779,554,All ages,4174064
780,554,0-4,309945
781,554,5-9,344242
782,554,10-14,375547
783,554,15-19,376355
784,554,20-24,375703
785,554,25-29,366387
786,554,30-34,316953
787,554,35-39,322550
788,554,40-44,269875
789,554,45-49,249675
790,554,50-54,195552
791,554,55-59,160097
792,554,60-64,168830
793,554,65-69,116627
794,554,70-74,84192
795,554,75-79,39002
796,554,80+,43130
797,554,Age not stated,59402
798,300,All ages,887142
799,300,0-4,93936
800,300,5-9,104910
801,300,10-14,101991
802,300,15-19,91091
803,300,20-24,81497
804,300,25-29,79246
805,300,30-34,63643
806,300,35-39,64832
807,300,40-44,51303
808,300,45-49,44937
809,300,50-54,31562
810,300,55-59,23108
811,300,60-64,19256
812,300,65-69,13302
813,300,70-74,10073
814,300,75-79,5318
815,300,80+,6337
816,300,Age not stated,800
817,301,All ages,1949258
818,301,0-4,258825
819,301,5-9,265880
820,301,10-14,232151
821,301,15-19,185117
822,301,20-24,180560
823,301,25-29,164059
824,301,30-34,132763
825,301,35-39,123002
826,301,40-44,99926
827,301,45-49,83684
828,301,50-54,63968
829,301,55-59,45079
830,301,60-64,40077
831,301,65-69,25973
832,301,70-74,21473
833,301,75-79,10721
834,301,80+,14454
835,301,Age not stated,1546
836,302,All ages,1008183
837,302,0-4,120960
838,302,5-9,124597
839,302,10-14,118515
840,302,15-19,102641
841,302,20-24,94834
842,302,25-29,88962
843,302,30-34,69734
844,302,35-39,67490
845,302,40-44,54761
846,302,45-49,47846
847,302,50-54,34845
848,302,55-59,24649
849,302,60-64,20560
850,302,65-69,14264
851,302,70-74,10720
852,302,75-79,5505
853,302,80+,6884
854,302,Age not stated,416
855,303,All ages,1693622
856,303,0-4,199823
857,303,5-9,218263
858,303,10-14,198779
859,303,15-19,156404
860,303,20-24,153925
861,303,25-29,145118
862,303,30-34,119874
863,303,35-39,113521
864,303,40-44,92238
865,303,45-49,79413
866,303,50-54,61385
867,303,55-59,44080
868,303,60-64,38752
869,303,65-69,25179
870,303,70-74,21022
871,303,75-79,10728
872,303,80+,14209
873,303,Age not stated,909
874,304,All ages,957423
875,304,0-4,113579
876,304,5-9,124347
877,304,10-14,114433
878,304,15-19,92456
879,304,20-24,85234
880,304,25-29,82688
881,304,30-34,67532
882,304,35-39,63440
883,304,40-44,50621
884,304,45-49,43631
885,304,50-54,33459
886,304,55-59,22830
887,304,60-64,22619
888,304,65-69,14043
889,304,70-74,11960
890,304,75-79,5288
891,304,80+,8072
892,304,Age not stated,1191
893,305,All ages,2823768
894,305,0-4,321027
895,305,5-9,346879
896,305,10-14,337490
897,305,15-19,273468
898,305,20-24,255222
899,305,25-29,244191
900,305,30-34,199547
901,305,35-39,190984
902,305,40-44,154763
903,305,45-49,132740
904,305,50-54,102976
905,305,55-59,71952
906,305,60-64,69347
907,305,65-69,44443
908,305,70-74,35701
909,305,75-79,17475
910,305,80+,24218
911,305,Age not stated,1345
912,306,All ages,1924110
913,306,0-4,191456
914,306,5-9,215897
915,306,10-14,212378
916,306,15-19,186590
917,306,20-24,177180
918,306,25-29,176490
919,306,30-34,145666
920,306,35-39,139402
921,306,40-44,114197
922,306,45-49,101974
923,306,50-54,76429
924,306,55-59,54392
925,306,60-64,50387
926,306,65-69,31793
927,306,70-74,24131
928,306,75-79,10945
929,306,80+,13571
930,306,Age not stated,1232
931,307,All ages,1042137
932,307,0-4,107700
933,307,5-9,120883
934,307,10-14,118490
935,307,15-19,102738
936,307,20-24,95594
937,307,25-29,93980
938,307,30-34,81142
939,307,35-39,75760
940,307,40-44,59859
941,307,45-49,52111
942,307,50-54,37285
943,307,55-59,27247
944,307,60-64,25835
945,307,65-69,16912
946,307,70-74,12853
947,307,75-79,6099
948,307,80+,7384
949,307,Age not stated,265
950,308,All ages,686133
951,308,0-4,71053
952,308,5-9,81761
953,308,10-14,82165
954,308,15-19,70330
955,308,20-24,64718
956,308,25-29,64194
957,308,30-34,52844
958,308,35-39,47748
959,308,40-44,37101
960,308,45-49,31937
961,308,50-54,22908
962,308,55-59,16963
963,308,60-64,15787
964,308,65-69,10327
965,308,70-74,7869
966,308,75-79,3894
967,308,80+,4303
968,308,Age not stated,231
969,309,All ages,1327929
970,309,0-4,124831
971,309,5-9,142791
972,309,10-14,144499
973,309,15-19,133626
974,309,20-24,129219
975,309,25-29,124908
976,309,30-34,102664
977,309,35-39,97097
978,309,40-44,80794
979,309,45-49,71603
980,309,50-54,52834
981,309,55-59,37878
982,309,60-64,33949
983,309,65-69,19894
984,309,70-74,15262
985,309,75-79,7268
986,309,80+,8292
987,309,Age not stated,520
988,310,All ages,1326335
989,310,0-4,112158
990,310,5-9,128890
991,310,10-14,136430
992,310,15-19,131642
993,310,20-24,129599
994,310,25-29,128428
995,310,30-34,106968
996,310,35-39,103446
997,310,40-44,84519
998,310,45-49,76931
999,310,50-54,56162
1000,310,55-59,41144
1001,310,60-64,35569
1002,310,65-69,21817
1003,310,70-74,15710
1004,310,75-79,7600
1005,310,80+,8772
1006,310,Age not stated,550
1007,311,All ages,1151050
1008,311,0-4,96532
1009,311,5-9,110106
1010,311,10-14,116152
1011,311,15-19,110261
1012,311,20-24,108099
1013,311,25-29,106906
1014,311,30-34,91388
1015,311,35-39,93072
1016,311,40-44,76714
1017,311,45-49,69773
1018,311,50-54,49774
1019,311,55-59,36690
1020,311,60-64,32673
1021,311,65-69,21527
1022,311,70-74,15541
1023,311,75-79,7309
1024,311,80+,8196
1025,311,Age not stated,337
1026,312,All ages,1092256
1027,312,0-4,85654
1028,312,5-9,98489
1029,312,10-14,108807
1030,312,15-19,105318
1031,312,20-24,102529
1032,312,25-29,104111
1033,312,30-34,90776
1034,312,35-39,88730
1035,312,40-44,71951
1036,312,45-49,64093
1037,312,50-54,47649
1038,312,55-59,35505
1039,312,60-64,33722
1040,312,65-69,22522
1041,312,70-74,15679
1042,312,75-79,7482
1043,312,80+,8503
1044,312,Age not stated,736
