,District Code,Occupation,Total Main Worker (Person)
425,252,TECHNICIANS AND ASSOCIATE PROFESSIONALS,742
426,252,Physical and Engineering Science Associate Professionals,68
427,252,Life Science and Health Associate Professionals,168
428,252,Teaching Associate Professionals,406
429,252,Other Associate Professionals,100
430,252,CLERKS,243
431,252,Office Clerks,234
432,252,Customer Services Clerks,9
433,252,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,691
434,252,Personal and Protective Service Workers,409
435,252,"Models, Sales Persons and Demonstrators",282
436,252,SKILLED AGRICULTURAL AND FISHERY WORKERS,319
437,252,Market Oriented Skilled Agricultural and Fishery Workers,319
438,252,CRAFT AND RELATED TRADES WORKERS,332
439,252,Extraction and Building Trades Workers,190
440,252,"Metal, Machinery and Related Trades Workers",95
441,252,"Precision, Handicraft, Printing and Related Trades Workers",5
442,252,Other Craft and Related Trades Workers,42
443,252,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,225
444,252,Stationary Plant and Related Operators,30
445,252,Machine Operators and Assemblers,16
446,252,Drivers and Mobile-Plant Operators,179
447,252,ELEMENTARY OCCUPATIONS,812
448,252,Sales and Services Elementary Occupations,114
449,252,"Agricultural, Fishery and Related Labourers",49
450,252,"Labourers in Mining, Construction, Manufacturing and Transport",649
451,252,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1598
452,252,Workers Not Reporting Any Occupations,1598
453,253,TOTAL,16078
454,253,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",716
455,253,Legislators and Senior Officials,182
456,253,Corporate Managers,534
457,253,PROFESSIONALS,876
458,253,"Physical, Mathematical and Engineering Science Professionals",93
459,253,Life Science and Health Professionals,129
460,253,Teaching Professionals,356
461,253,Other Professionals,298
462,253,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1801
463,253,Physical and Engineering Science Associate Professionals,146
464,253,Life Science and Health Associate Professionals,343
465,253,Teaching Associate Professionals,971
466,253,Other Associate Professionals,341
467,253,CLERKS,601
468,253,Office Clerks,575
469,253,Customer Services Clerks,26
470,253,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2479
471,253,Personal and Protective Service Workers,1360
472,253,"Models, Sales Persons and Demonstrators",1119
473,253,SKILLED AGRICULTURAL AND FISHERY WORKERS,410
474,253,Market Oriented Skilled Agricultural and Fishery Workers,410
475,253,CRAFT AND RELATED TRADES WORKERS,1171
476,253,Extraction and Building Trades Workers,649
477,253,"Metal, Machinery and Related Trades Workers",326
478,253,"Precision, Handicraft, Printing and Related Trades Workers",48
479,253,Other Craft and Related Trades Workers,148
480,253,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,844
481,253,Stationary Plant and Related Operators,65
482,253,Machine Operators and Assemblers,63
483,253,Drivers and Mobile-Plant Operators,716
484,253,ELEMENTARY OCCUPATIONS,4457
485,253,Sales and Services Elementary Occupations,463
486,253,"Agricultural, Fishery and Related Labourers",2385
487,253,"Labourers in Mining, Construction, Manufacturing and Transport",1609
488,253,WORKERS NOT CLASSIFIED BY OCCUPATIONS,2723
489,253,Workers Not Reporting Any Occupations,2723
490,254,TOTAL,10378
491,254,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",455
492,254,Legislators and Senior Officials,210
493,254,Corporate Managers,245
494,254,PROFESSIONALS,654
495,254,"Physical, Mathematical and Engineering Science Professionals",34
496,254,Life Science and Health Professionals,94
497,254,Teaching Professionals,202
498,254,Other Professionals,324
499,254,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1436
500,254,Physical and Engineering Science Associate Professionals,97
501,254,Life Science and Health Associate Professionals,358
502,254,Teaching Associate Professionals,769
503,254,Other Associate Professionals,212
504,254,CLERKS,473
505,254,Office Clerks,451
506,254,Customer Services Clerks,22
507,254,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1630
508,254,Personal and Protective Service Workers,1028
509,254,"Models, Sales Persons and Demonstrators",602
510,254,SKILLED AGRICULTURAL AND FISHERY WORKERS,338
511,254,Market Oriented Skilled Agricultural and Fishery Workers,338
512,254,CRAFT AND RELATED TRADES WORKERS,635
513,254,Extraction and Building Trades Workers,333
514,254,"Metal, Machinery and Related Trades Workers",148
515,254,"Precision, Handicraft, Printing and Related Trades Workers",8
516,254,Other Craft and Related Trades Workers,146
517,254,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,465
518,254,Stationary Plant and Related Operators,46
519,254,Machine Operators and Assemblers,28
520,254,Drivers and Mobile-Plant Operators,391
521,254,ELEMENTARY OCCUPATIONS,1512
522,254,Sales and Services Elementary Occupations,286
523,254,"Agricultural, Fishery and Related Labourers",499
524,254,"Labourers in Mining, Construction, Manufacturing and Transport",727
525,254,WORKERS NOT CLASSIFIED BY OCCUPATIONS,2780
526,254,Workers Not Reporting Any Occupations,2780
527,255,TOTAL,12047
528,255,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",685
529,255,Legislators and Senior Officials,322
530,255,Corporate Managers,363
531,255,PROFESSIONALS,1046
532,255,"Physical, Mathematical and Engineering Science Professionals",211
533,255,Life Science and Health Professionals,174
534,255,Teaching Professionals,318
535,255,Other Professionals,343
536,255,TECHNICIANS AND ASSOCIATE PROFESSIONALS,2010
537,255,Physical and Engineering Science Associate Professionals,265
538,255,Life Science and Health Associate Professionals,357
539,255,Teaching Associate Professionals,987
540,255,Other Associate Professionals,401
541,255,CLERKS,1005
542,255,Office Clerks,970
543,255,Customer Services Clerks,35
544,255,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2223
545,255,Personal and Protective Service Workers,1438
546,255,"Models, Sales Persons and Demonstrators",785
547,255,SKILLED AGRICULTURAL AND FISHERY WORKERS,527
548,255,Market Oriented Skilled Agricultural and Fishery Workers,527
549,255,CRAFT AND RELATED TRADES WORKERS,891
550,255,Extraction and Building Trades Workers,475
551,255,"Metal, Machinery and Related Trades Workers",280
552,255,"Precision, Handicraft, Printing and Related Trades Workers",19
553,255,Other Craft and Related Trades Workers,117
554,255,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,682
555,255,Stationary Plant and Related Operators,45
556,255,Machine Operators and Assemblers,43
557,255,Drivers and Mobile-Plant Operators,594
558,255,ELEMENTARY OCCUPATIONS,1439
559,255,Sales and Services Elementary Occupations,408
560,255,"Agricultural, Fishery and Related Labourers",34
561,255,"Labourers in Mining, Construction, Manufacturing and Transport",997
562,255,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1539
563,255,Workers Not Reporting Any Occupations,1539
564,256,TOTAL,4512
565,256,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",278
566,256,Legislators and Senior Officials,182
567,256,Corporate Managers,96
568,256,PROFESSIONALS,263
569,256,"Physical, Mathematical and Engineering Science Professionals",34
570,256,Life Science and Health Professionals,42
571,256,Teaching Professionals,94
572,256,Other Professionals,93
573,256,TECHNICIANS AND ASSOCIATE PROFESSIONALS,872
574,256,Physical and Engineering Science Associate Professionals,86
575,256,Life Science and Health Associate Professionals,128
576,256,Teaching Associate Professionals,586
577,256,Other Associate Professionals,72
578,256,CLERKS,210
579,256,Office Clerks,200
580,256,Customer Services Clerks,10
581,256,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,607
582,256,Personal and Protective Service Workers,431
583,256,"Models, Sales Persons and Demonstrators",176
584,256,SKILLED AGRICULTURAL AND FISHERY WORKERS,396
585,256,Market Oriented Skilled Agricultural and Fishery Workers,396
586,256,CRAFT AND RELATED TRADES WORKERS,103
587,256,Extraction and Building Trades Workers,75
588,256,"Metal, Machinery and Related Trades Workers",19
589,256,Other Craft and Related Trades Workers,9
590,256,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,76
591,256,Stationary Plant and Related Operators,13
592,256,Machine Operators and Assemblers,4
593,256,Drivers and Mobile-Plant Operators,59
594,256,ELEMENTARY OCCUPATIONS,504
595,256,Sales and Services Elementary Occupations,86
596,256,"Agricultural, Fishery and Related Labourers",9
597,256,"Labourers in Mining, Construction, Manufacturing and Transport",409
598,256,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1203
599,256,Workers Not Reporting Any Occupations,1203
600,257,TOTAL,1650
601,257,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",72
602,257,Legislators and Senior Officials,47
603,257,Corporate Managers,25
604,257,PROFESSIONALS,78
605,257,"Physical, Mathematical and Engineering Science Professionals",14
