,State Code,Age Group,Total Persons
382,21,5-9,4074768
383,21,10-14,4348625
384,21,15-19,3925398
385,21,20-24,3783527
386,21,25-29,3574037
387,21,30-34,3102991
388,21,35-39,3051188
389,21,40-44,2691474
390,21,45-49,2334030
391,21,50-54,1847812
392,21,55-59,1483720
393,21,60-64,1474061
394,21,65-69,979525
395,21,70-74,768070
396,21,75-79,364800
397,21,80+,397992
398,21,Age not stated,119171
399,22,All ages,25545198
400,22,0-4,2541065
401,22,5-9,2758758
402,22,10-14,2884013
403,22,15-19,2599842
404,22,20-24,2389497
405,22,25-29,2057300
406,22,30-34,1815058
407,22,35-39,1779414
408,22,40-44,1576553
409,22,45-49,1334374
410,22,50-54,992947
411,22,55-59,789353
412,22,60-64,743742
413,22,65-69,533810
414,22,70-74,373000
415,22,75-79,166578
416,22,80+,186779
417,22,Age not stated,23115
418,23,All ages,72626809
419,23,0-4,7471286
420,23,5-9,8266455
421,23,10-14,8564501
422,23,15-19,7446789
423,23,20-24,6727579
424,23,25-29,5787506
425,23,30-34,5214960
426,23,35-39,4861671
427,23,40-44,4214474
428,23,45-49,3522961
429,23,50-54,2694372
430,23,55-59,2058077
431,23,60-64,1987410
432,23,65-69,1427061
433,23,70-74,1107421
434,23,75-79,523355
435,23,80+,668069
436,23,Age not stated,82862
437,24,All ages,60439692
438,24,0-4,5460332
439,24,5-9,5835836
440,24,10-14,6149445
441,24,15-19,5865760
442,24,20-24,5780722
443,24,25-29,5278822
444,24,30-34,4770528
445,24,35-39,4341225
446,24,40-44,3865476
447,24,45-49,3314013
448,24,50-54,2697183
449,24,55-59,2054947
450,24,60-64,1727752
451,24,65-69,1170072
452,24,70-74,899677
453,24,75-79,439996
454,24,80+,549062
455,24,Age not stated,238844
456,25,All ages,243247
457,25,0-4,19158
458,25,5-9,18506
459,25,10-14,17321
460,25,15-19,26314
461,25,20-24,38584
462,25,25-29,33181
463,25,30-34,24031
464,25,35-39,19550
465,25,40-44,13601
466,25,45-49,9618
467,25,50-54,6610
468,25,55-59,5056
469,25,60-64,4308
470,25,65-69,2753
471,25,70-74,2103
472,25,75-79,1067
473,25,80+,1130
474,25,Age not stated,356
475,26,All ages,343709
476,26,0-4,36561
477,26,5-9,36249
478,26,10-14,35003
479,26,15-19,33104
480,26,20-24,44301
481,26,25-29,39885
482,26,30-34,30641
483,26,35-39,25277
484,26,40-44,18181
485,26,45-49,13789
486,26,50-54,9503
487,26,55-59,6951
488,26,60-64,5831
489,26,65-69,3716
490,26,70-74,2309
491,26,75-79,958
492,26,80+,1078
493,26,Age not stated,372
494,27,All ages,112374333
495,27,0-4,9362026
496,27,5-9,9820654
497,27,10-14,10734535
498,27,15-19,10627267
499,27,20-24,11090966
500,27,25-29,10147113
501,27,30-34,8796307
502,27,35-39,8247160
503,27,40-44,7196089
504,27,45-49,6032454
505,27,50-54,4919317
506,27,55-59,3885814
507,27,60-64,3642480
508,27,65-69,3078352
509,27,70-74,2143136
510,27,75-79,1062773
511,27,80+,1180194
512,27,Age not stated,407696
513,28,All ages,84580777
514,28,0-4,6284765
515,28,5-9,7304432
516,28,10-14,8201595
517,28,15-19,8093747
518,28,20-24,8132094
519,28,25-29,7799036
520,28,30-34,6584371
521,28,35-39,6507339
522,28,40-44,5399473
523,28,45-49,4657269
524,28,50-54,3657386
525,28,55-59,2909598
526,28,60-64,3199837
527,28,65-69,2167854
528,28,70-74,1519358
529,28,75-79,636989
530,28,80+,754203
531,28,Age not stated,771431
532,29,All ages,61095297
533,29,0-4,5046719
534,29,5-9,5241509
535,29,10-14,5736646
536,29,15-19,5827277
537,29,20-24,6052558
538,29,25-29,5771606
539,29,30-34,4698380
540,29,35-39,4695451
541,29,40-44,3826712
542,29,45-49,3519782
543,29,50-54,2699270
544,29,55-59,2142504
545,29,60-64,2060052
546,29,65-69,1520119
547,29,70-74,1061125
548,29,75-79,524426
549,29,80+,625310
550,29,Age not stated,45851
551,30,All ages,1458545
552,30,0-4,101203
553,30,5-9,105968
554,30,10-14,110989
555,30,15-19,113875
556,30,20-24,130745
557,30,25-29,132626
558,30,30-34,125859
559,30,35-39,126298
560,30,40-44,108512
561,30,45-49,94736
562,30,50-54,76592
563,30,55-59,65553
564,30,60-64,61104
565,30,65-69,41019
566,30,70-74,29055
567,30,75-79,16536
568,30,80+,15781
569,30,Age not stated,2094
570,31,All ages,64473
571,31,0-4,5052
572,31,5-9,5407
573,31,10-14,5998
574,31,15-19,5624
575,31,20-24,5829
576,31,25-29,5967
577,31,30-34,5437
578,31,35-39,5389
579,31,40-44,4608
580,31,45-49,3810
581,31,50-54,3066
582,31,55-59,2901
583,31,60-64,2034
584,31,65-69,1413
585,31,70-74,849
586,31,75-79,493
587,31,80+,481
588,31,Age not stated,115
589,32,All ages,33406061
590,32,0-4,2453092
591,32,5-9,2555112
592,32,10-14,2822770
593,32,15-19,2610552
594,32,20-24,2665809
595,32,25-29,2604092
596,32,30-34,2455501
597,32,35-39,2579673
598,32,40-44,2412498
599,32,45-49,2348530
600,32,50-54,1928145
601,32,55-59,1742408
602,32,60-64,1414671
603,32,65-69,1002134
604,32,70-74,733372
605,32,75-79,501367
606,32,80+,541849
607,32,Age not stated,34486
608,33,All ages,72147030
609,33,0-4,5278701
610,33,5-9,5551255
611,33,10-14,6177547
612,33,15-19,6253792
613,33,20-24,6411543
614,33,25-29,6663746
615,33,30-34,5815560
616,33,35-39,5836456
617,33,40-44,5064209
618,33,45-49,4713056
619,33,50-54,3703460
620,33,55-59,3101142
621,33,60-64,2782608
622,33,65-69,1868370
623,33,70-74,1406529
624,33,75-79,710241
625,33,80+,742010
626,33,Age not stated,66805
627,34,All ages,1247953
