,State Code,District Code,Name,Population (Person),Area,Population Density
5763,12,252,Upper Siang,35320,6589.999999999997,5.3596358118361165
5799,12,253,Changlang,148226,4662.0,31.794508794508797
5847,12,254,Tirap,111975,2362.0,47.406858594411524
5883,12,255,Lower Subansiri,83030,3507.9999999999995,23.66875712656785
5910,12,256,Kurung Kumey,92076,6040.0,15.244370860927152
5955,12,257,Dibang Valley,8004,9129.000000000002,0.8767663489976995
5973,12,258,Lower Dibang Valley,54080,3899.99820262115,13.866673057349969
5994,12,259,Lohit,145726,5212.0,27.95970836531082
6021,12,260,Anjaw,21167,6190.0,3.4195476575121164
6048,13,0,NAGALAND,1978502,16579.0,119.3378370227396
6051,13,261,Mon,250260,1786.0,140.1231802911534
6096,13,262,Mokokchung,194622,1614.9999999999998,120.50897832817341
6126,13,263,Zunheboto,140757,1255.0,112.15697211155378
6168,13,264,Wokha,166343,1627.9999999999998,102.17628992628994
6207,13,265,Dimapur ,378811,927.0,408.64185544768077
6234,13,266,Phek,163418,2025.9999999999993,80.66041461006913
6279,13,267,Tuensang,196596,2536.0,77.52208201892745
6330,13,268,Longleng,50484,562.0,89.82918149466192
6348,13,269,Kiphire,74004,1130.0,65.49026548672566
6375,13,270,Kohima,267988,1463.0,183.17703349282294
6402,13,271,Peren,95219,1651.0,57.673531193216235
6426,14,0,MANIPUR,2855794,22327.0,127.90764545169527
6429,14,272,Senapati,479148,3271.0,146.48364414552125
6450,14,273,Tamenglong ,140651,4391.0,32.03165565930312
6465,14,274,Churachandpur,274143,4570.0,59.98752735229759
6483,14,275,Bishnupur,237399,496.0,478.6270161290323
6495,14,276,Thoubal,422168,514.0,821.3385214007782
6507,14,277,Imphal West,517992,519.0,998.057803468208
6522,14,278,Imphal East,456113,709.0,643.3187588152327
6537,14,279,Ukhrul,183998,4544.0,40.4925176056338
6555,14,280,Chandel,144182,3313.0,43.52007244189557
6570,15,0,MIZORAM,1097206,21081.0,52.04715146340306
6573,15,281,Mamit,86364,3025.0,28.550082644628095
6585,15,282,Kolasib,83955,1382.0,60.74891461649783
6597,15,283,Aizawl,400309,3576.0,111.9432326621924
6615,15,284,Champhai,125745,3185.0,39.480376766091055
6633,15,285,Serchhip,64937,1421.0,45.69809992962703
6645,15,286,Lunglei,161428,4536.0,35.58818342151675
6660,15,287,Lawngtlai,117894,2557.0,46.10637465780211
6675,15,288,Saiha,56574,1399.0,40.438884917798426
6684,16,0,TRIPURA,3673917,10486.0,350.36400915506385
6687,16,289,West Tripura ,1725739,2993.0,576.5917139993318
6741,16,290,South Tripura ,876001,3057.0,286.555773634282
6780,16,291,Dhalai,378230,2400.0,157.59583333333333
6801,16,292,North Tripura,693947,2036.0,340.83840864440083
6831,17,0,MEGHALAYA,2966889,22429.0,132.27914753221276
6834,17,293,West Garo Hills,643291,3677.0,174.94995920587436
6861,17,294,East Garo Hills,317917,2603.0,122.1348444102958
6879,17,295,South Garo Hills,142334,1887.0,75.42872284048755
6894,17,296,West Khasi Hills,383461,5247.0,73.08195159138555
6915,17,297,Ribhoi,258840,2448.0,105.73529411764706
6927,17,298,East Khasi Hills,825922,2748.0,300.55385735080057
6954,17,299,Jaintia Hills,395124,3819.0,103.4626865671642
6972,18,0,ASSAM,31205576,78438.0,397.837476733216
6975,18,300,Kokrajhar,887142,3296.0,269.1571601941748
7005,18,301,Dhubri,1949258,2176.0000000000005,895.7987132352939
7035,18,302,Goalpara,1008183,1824.0,552.7319078947368
7053,18,303,Barpeta,1693622,2282.0,742.1656441717791
7083,18,304,Morigaon,957423,1551.0,617.2940038684719
7101,18,305,Nagaon,2823768,3973.0,710.7394915680845
7134,18,306,Sonitpur,1924110,5204.0,369.7367409684858
7158,18,307,Lakhimpur,1042137,2277.0,457.6798418972332
7182,18,308,Dhemaji,686133,3236.9999999999995,211.96570898980542
7203,18,309,Tinsukia,1327929,3790.0,350.37704485488126
7218,18,310,Dibrugarh,1326335,3381.0,392.29074238391007
7242,18,311,Sivasagar,1151050,2668.0,431.42803598200896
7263,18,312,Jorhat,1092256,2851.0,383.1132935811996
7284,18,313,Golaghat,1066888,3502.0,304.6510565391205
7305,18,314,Karbi Anglong,956313,10434.0,91.65353651523864
7320,18,315,Dima Hasao,214102,4888.0,43.80155482815057
7335,18,316,Cachar,1736617,3786.0,458.69440042260965
7353,18,317,Karimganj,1228686,1809.0,679.2072968490879
7371,18,318,Hailakandi,659296,1327.0,496.8319517709118
7386,18,319,Bongaigaon,738804,1093.0,675.9414455626717
7404,18,320,Chirang,482162,1923.0,250.73426937077485
7425,18,321,Kamrup,1517542,3105.0,488.741384863124
7464,18,322,Kamrup Metropolitan,1253938,955.0,1313.0240837696335
7485,18,323,Nalbari,771639,1052.0,733.4971482889732
7515,18,324,Baksa,950075,2457.0,386.6809116809117
7557,18,325,Darrang,928500,1585.0,585.8044164037855
7578,18,326,Udalguri,831668,2012.0,413.3538767395626
7608,19,0,WEST BENGAL,91276115,88752.0,1028.440091490896
7611,19,327,Darjiling ,1846823,3149.0,586.4791997459512
7653,19,328,Jalpaiguri ,3872846,6227.0,621.944114340774
7698,19,329,Koch Bihar ,2819086,3387.0,832.3253616770003
7740,19,330,Uttar Dinajpur,3007134,3140.0,957.6859872611464
7773,19,331,Dakshin Dinajpur,1676276,2219.0,755.4195583596214
7803,19,332,Maldah ,3988845,3733.0,1068.536030002679
7854,19,333,Murshidabad ,7103807,5324.0,1334.2988354620586
7938,19,334,Birbhum,3502404,4545.0,770.6059405940595
8001,19,335,Barddhaman ,7717563,7024.0,1098.7418849658313
8100,19,336,Nadia ,5167600,3927.0,1315.9154570919275
8157,19,337,North Twenty Four Parganas,10009781,4094.0,2444.9880312652663
8229,19,338,Hugli ,5519145,3149.0,1752.6659256906955
8289,19,339,Bankura ,3596674,6882.0,522.6204591688463
8361,19,340,Puruliya,2930115,6259.0,468.1442722479629
8427,19,341,Haora ,4850029,1467.0,3306.0865712338104
8475,19,342,Kolkata,4496694,185.0,24306.45405405405
8481,19,343,South Twenty Four Parganas,8161961,9960.0,819.4739959839357
8574,19,344,Paschim Medinipur,5913457,9368.0,631.2400725875319
8667,19,345,Purba Medinipur,5095875,4712.999763774556,1081.2381191207203
8748,20,0,JHARKHAND,32988134,79716.0,413.82073862210854
8751,20,346,Garhwa ,1322784,4093.0,323.1820180796482
8811,20,347,Chatra,1042886,3718.0,280.49650349650346
8850,20,348,Kodarma,716259,2540.0,281.99173228346456
8871,20,349,Giridih,2445474,4962.0,492.8403869407497
8913,20,350,Deoghar,1492073,2477.0,602.3710133225676
8946,20,351,Godda,1313551,2266.0042121427036,579.677210201619
8976,20,352,Sahibganj,1150567,2063.0,557.7154629180803
9006,20,353,Pakur,900422,1811.0,497.19602429596915
9027,20,354,Dhanbad,2684487,2040.0,1315.925
9054,20,355,Bokaro,2062330,2883.0,715.3416579951439
9084,20,356,Lohardaga,461790,1502.0,307.45006657789617
9108,20,357,Purbi Singhbhum,2293919,3562.0,643.9974733295901
9144,20,358,Palamu,1939869,4393.0,441.58183473708175
9207,20,359,Latehar,726978,4290.999999999999,169.41924959216968
9237,20,360,Hazaribagh,1734495,3554.9999999999995,487.90295358649803
9288,20,361,Ramgarh,949443,1341.001708025763,708.0102838927626
9309,20,362,Dumka,1321442,3761.0000000000014,351.35389524062737
9342,20,363,Jamtara,791042,1811.0,436.79845389287686
9363,20,364,Ranchi,2914253,5097.0,571.758485383559
9420,20,365,Khunti,531885,2535.003204961766,209.8163027797916
9441,20,366,Gumla,1025213,5360.000000000001,191.27108208955218
9480,20,367,Simdega,599578,3774.0003039451453,158.8706814287302
9513,20,368,Pashchimi Singhbhum,1502338,7223.996636703798,207.96493624691036
9570,20,369,Saraikela-Kharsawan,1065056,2657.0037633799684,400.84851014480483
9600,21,0,ODISHA,41974218,155707.0,269.5718111581368
9603,21,370,Bargarh,1481255,5837.0,253.76991605276683
9651,21,371,Jharsuguda,579505,2114.0,274.1272469252602
9684,21,372,Sambalpur,1041099,6624.0,157.1707427536232
9747,21,373,Debagarh,312520,2940.0,106.29931972789116
9762,21,374,Sundargarh,2093437,9712.0,215.55158566721585
9855,21,375,Kendujhar,1801733,8303.0,216.9978321088763
9930,21,376,Mayurbhanj,2519738,10418.0,241.86388942215402
10026,21,377,Baleshwar,2320529,3806.0,609.7028376248029
10092,21,378,Bhadrak,1506337,2505.0,601.3321357285429
10131,21,379,Kendrapara ,1440361,2644.0,544.7658850226928
10170,21,380,Jagatsinghapur ,1136971,1668.0,681.6372901678658
10203,21,381,Cuttack,2624470,3932.0,667.4643947100712
10281,21,382,Jajapur  ,1827192,2899.0,630.2835460503622
10338,21,383,Dhenkanal,1192811,4452.0,267.92699910152743
10380,21,384,Anugul  ,1273821,6375.0,199.8150588235294
10452,21,385,Nayagarh  ,962789,3890.0,247.50359897172243
10491,21,386,Khordha ,2251673,2813.0,800.4525417703519
10557,21,387,Puri,1698730,3479.0,488.2811152630066
10605,21,388,Ganjam,3529031,8206.0,430.05495978552284
10698,21,389,Gajapati,577817,4325.0,133.5993063583815
10731,21,390,Kandhamal,733110,8021.0,91.39882807629972
10785,21,391,Baudh,441162,3098.0,142.40219496449322
10806,21,392,Subarnapur,610183,2337.0,261.0967051775781
10833,21,393,Balangir,1648997,6575.0,250.79802281368825
10872,21,394,Nuapada,610382,3852.0,158.45846313603326
10893,21,395,Kalahandi,1576869,7920.0,199.0996212121212
10935,21,396,Rayagada  ,967911,7073.0,136.84589283189595
10983,21,397,Nabarangapur ,1220946,5291.0,230.75902475902473
11022,21,398,Koraput,1379647,8807.0,156.65345747700692
11088,21,399,Malkangiri  ,613192,5791.0,105.8870661371093
11124,22,0,CHHATTISGARH,25545198,135192.0,188.95495295579622
11127,22,400,Koriya,658917,6604.0,99.7754391278013
11145,22,401,Surguja,2359886,15732.0,150.00546656496314
11205,22,402,Jashpur ,851669,5838.0,145.88369304556358
11232,22,403,Raigarh,1493984,7086.0,210.83601467682755
11262,22,404,Korba ,1206640,6598.0,182.87966050318283
11280,22,405,Janjgir - Champa,1619707,3853.0,420.37555151829736
11313,22,406,Bilaspur,2663629,8272.0,322.0054400386847
11349,22,407,Kabeerdham,822526,4235.0,194.2210153482881
11364,22,408,Rajnandgaon,1537133,8070.0,190.47496902106568
11394,22,409,Durg,3343872,8535.0,391.7834797891037
